Modelo,Parametro,Vertices,Instancia,Dijkstra_Custo,Dijkstra_Tempo_s,Duan_Custo,Duan_Tempo_s,BellmanFord_Custo,BellmanFord_Tempo_s
Barabási–Albert,m3,500,1,31283,0.000723,33124,0.000742,31283,0.001196
Barabási–Albert,m3,500,2,29213,0.000722,31463,0.00068,29213,0.000806
Barabási–Albert,m3,1000,1,57423,0.002665,60103,0.002248,57423,0.004032
Barabási–Albert,m3,1000,2,64064,0.002582,66297,0.002256,64064,0.004029
Barabási–Albert,m3,2000,1,123517,0.004897,130380,0.004562,123517,0.007642
Barabási–Albert,m3,2000,2,137722,0.006779,141395,0.003986,137722,0.009901
Barabási–Albert,m3,5000,1,371719,0.033338,411562,0.021948,371719,0.073398
Barabási–Albert,m3,5000,2,313681,0.031834,341700,0.026211,313681,0.075939
Barabási–Albert,m3,10000,1,658195,0.175577,692958,0.089117,658195,0.310834
Barabási–Albert,m3,10000,2,693534,0.167068,731742,0.084799,693534,0.272004
Erdős–Rényi,p0.01,500,1,76482,0.000682,79003,0.000497,76482,0.001352
Erdős–Rényi,p0.01,500,2,62136,0.000662,64992,0.000556,62136,0.001071
Erdős–Rényi,p0.01,1000,1,69654,0.001487,86695,0.00097,69654,0.00266
Erdős–Rényi,p0.01,1000,2,68535,0.001339,84490,0.000883,68535,0.002804
Erdős–Rényi,p0.01,2000,1,80689,0.005178,94776,0.003865,80689,0.017428
Erdős–Rényi,p0.01,2000,2,97580,0.00557,122162,0.003404,97580,0.014667
Erdős–Rényi,p0.01,5000,1,101700,0.033572,119216,0.033211,101700,0.099108
Erdős–Rényi,p0.01,5000,2,114182,0.035192,138987,0.030869,114182,0.115482
Erdős–Rényi,p0.01,10000,1,125492,0.190674,133314,0.189304,125492,0.407495
Erdős–Rényi,p0.01,10000,2,146311,0.182302,152452,0.211766,146311,0.400197
Watts–Strogatz,k4-p0.2,500,1,118979,0.000636,124808,0.000489,118979,0.001918
Watts–Strogatz,k4-p0.2,500,2,96353,0.000648,104276,0.000482,96353,0.001081
Watts–Strogatz,k4-p0.2,1000,1,282664,0.002407,293967,0.000891,282664,0.00323
Watts–Strogatz,k4-p0.2,1000,2,276167,0.001539,282715,0.000782,276167,0.003217
Watts–Strogatz,k4-p0.2,2000,1,538593,0.004894,569607,0.003021,538593,0.019052
Watts–Strogatz,k4-p0.2,2000,2,619135,0.007549,642940,0.003207,619135,0.021784
Watts–Strogatz,k4-p0.2,5000,1,1655684,0.035088,1721839,0.021681,1655684,0.145336
Watts–Strogatz,k4-p0.2,5000,2,1696451,0.030023,1761026,0.023044,1696451,0.146464
Watts–Strogatz,k4-p0.2,10000,1,4355527,0.136851,4457809,0.095718,4355527,0.666537
Watts–Strogatz,k4-p0.2,10000,2,4643399,0.142845,4767822,0.085342,4643399,0.615734
