10000 499395
0 76 72
0 139 77
0 269 5
0 366 25
0 424 41
0 429 81
0 601 79
0 644 7
0 696 30
0 871 17
0 921 5
0 936 32
0 963 91
0 1021 17
0 1040 32
0 1082 43
0 1170 29
0 1195 21
0 1246 76
0 1263 56
0 1484 38
0 1548 32
0 1715 72
0 1763 53
0 1937 84
0 2146 39
0 2263 51
0 2275 48
0 2343 61
0 2467 26
0 2498 61
0 2545 100
0 2574 88
0 2851 24
0 3021 24
0 3022 26
0 3167 69
0 3204 35
0 3214 28
0 3432 34
0 3520 57
0 3523 38
0 3620 90
0 3694 68
0 3766 53
0 3853 85
0 3889 5
0 4051 85
0 4078 73
0 4115 58
0 4201 42
0 4205 8
0 4260 3
0 4380 47
0 4499 69
0 4506 73
0 4554 24
0 4584 64
0 4820 38
0 4869 73
0 5010 26
0 5020 72
0 5143 85
0 5492 18
0 5627 43
0 5753 85
0 5784 46
0 5827 14
0 5843 75
0 5969 20
0 6075 62
0 6082 9
0 6113 76
0 6120 28
0 6124 4
0 6263 5
0 6495 24
0 6641 21
0 6699 53
0 6773 87
0 6882 81
0 6906 38
0 6976 20
0 7184 35
0 7256 41
0 7316 35
0 7391 33
0 7393 88
0 7441 82
0 7612 15
0 7647 80
0 7671 74
0 7673 86
0 7842 86
0 7857 19
0 7875 36
0 8033 28
0 8077 57
0 8146 50
0 8253 84
0 8345 51
0 8408 24
0 8411 12
0 8692 22
0 8984 33
0 9041 54
0 9103 14
0 9163 66
0 9387 70
0 9423 45
0 9470 48
0 9587 75
0 9639 59
0 9651 77
0 9716 28
0 9724 17
0 9752 72
0 9959 55
0 9968 90
1 39 85
1 44 25
1 96 83
1 148 45
1 254 5
1 410 54
1 452 23
1 754 38
1 864 57
1 950 71
1 1005 51
1 1041 97
1 1108 35
1 1263 55
1 1282 4
1 1679 95
1 1723 53
1 1735 11
1 2722 31
1 2753 30
1 3561 92
1 3617 26
1 3715 22
1 3819 77
1 3838 65
1 3846 30
1 3881 31
1 3904 87
1 3934 92
1 3936 87
1 4167 56
1 4248 46
1 4512 4
1 4881 61
1 5022 96
1 5265 72
1 5279 23
1 5322 67
1 5473 17
1 5593 83
1 5619 70
1 5731 13
1 5763 40
1 5881 62
1 5972 50
1 6019 39
1 6044 6
1 6104 57
1 6110 19
1 6308 20
1 6502 9
1 6504 57
1 6566 28
1 6657 49
1 6697 96
1 6801 89
1 6997 18
1 7296 57
1 7396 20
1 7441 69
1 7651 49
1 7660 20
1 7670 46
1 7693 65
1 7774 28
1 7810 80
1 7816 52
1 7831 62
1 7866 58
1 8102 45
1 8152 98
1 8290 48
1 8346 72
1 8373 87
1 8397 48
1 8533 61
1 8595 53
1 8651 100
1 8743 38
1 8843 100
1 8868 47
1 8880 60
1 8913 18
1 9175 81
1 9259 1
1 9332 71
1 9362 78
1 9400 87
1 9529 84
1 9543 69
1 9602 19
1 9653 79
1 9719 9
1 9775 20
1 9946 8
2 225 50
2 306 27
2 513 84
2 514 6
2 520 44
2 730 100
2 854 72
2 947 6
2 986 49
2 1009 64
2 1150 41
2 1276 64
2 1308 90
2 1417 46
2 1433 77
2 1632 2
2 1662 38
2 1756 32
2 1794 23
2 1802 36
2 1910 45
2 1948 43
2 2083 24
2 2292 73
2 2408 13
2 2458 18
2 2749 56
2 2783 5
2 2789 92
2 2867 98
2 2996 6
2 3053 51
2 3205 78
2 3295 23
2 3341 66
2 3387 79
2 3405 55
2 3610 88
2 3717 88
2 3744 28
2 3802 73
2 3930 26
2 3964 58
2 3972 3
2 3980 6
2 3985 10
2 4033 63
2 4339 29
2 4718 37
2 4770 77
2 4809 67
2 4829 88
2 4859 3
2 4961 78
2 5082 87
2 5097 24
2 5192 71
2 5429 14
2 5440 49
2 5643 24
2 5682 75
2 5819 97
2 5828 34
2 5910 49
2 6226 56
2 6544 28
2 6584 19
2 7256 70
2 7372 30
2 7686 58
2 7740 33
2 7776 14
2 7805 16
2 7950 10
2 7952 6
2 7985 39
2 8216 42
2 8360 22
