10000 500428
0 65 36
0 74 67
0 202 76
0 205 96
0 229 66
0 297 66
0 783 64
0 907 25
0 1164 89
0 1341 87
0 1422 45
0 1426 52
0 1689 91
0 1969 84
0 2034 66
0 2093 59
0 2146 17
0 2163 91
0 2164 45
0 2341 89
0 2344 30
0 2506 32
0 2557 7
0 3069 95
0 3487 64
0 3551 51
0 3656 99
0 3910 28
0 4034 75
0 4096 5
0 4298 82
0 4410 46
0 4523 62
0 4535 1
0 4645 43
0 4710 66
0 4728 37
0 4886 53
0 4901 37
0 5095 24
0 5181 22
0 5456 91
0 5712 40
0 5864 64
0 5966 89
0 6071 65
0 6123 69
0 6454 31
0 6627 51
0 6657 14
0 6693 89
0 6981 63
0 6994 31
0 7120 28
0 7453 18
0 7503 27
0 7569 15
0 7673 1
0 7684 4
0 7771 44
0 7946 46
0 7980 96
0 8150 46
0 8175 24
0 8185 58
0 8235 45
0 8246 26
0 8436 62
0 8838 62
0 8863 33
0 8868 43
0 8937 55
0 9122 56
0 9200 30
0 9371 60
0 9386 2
0 9408 14
0 9442 14
0 9538 76
0 9740 1
0 9742 65
0 9897 74
1 397 32
1 398 14
1 573 68
1 632 85
1 789 73
1 804 30
1 829 85
1 968 32
1 1028 25
1 1108 17
1 1388 71
1 1413 41
1 1440 75
1 1527 72
1 1654 88
1 1757 18
1 1833 33
1 1891 8
1 1905 49
1 1944 47
1 2017 1
1 2023 29
1 2120 81
1 2134 94
1 2332 22
1 2504 87
1 2664 83
1 2740 37
1 2885 4
1 2891 35
1 3144 16
1 3200 53
1 3307 74
1 3365 92
1 3427 47
1 3445 83
1 3494 82
1 3530 66
1 3589 34
1 3608 73
1 3710 40
1 3839 24
1 3871 27
1 3881 31
1 3971 67
1 4028 67
1 4056 21
1 4249 56
1 4295 51
1 4342 93
1 4458 95
1 4499 16
1 4577 59
1 4620 88
1 4804 24
1 4875 52
1 4962 91
1 5098 45
1 5409 39
1 5440 82
1 5646 96
1 5704 52
1 6003 44
1 6215 93
1 6236 7
1 6250 59
1 6400 3
1 6479 53
1 6500 38
1 6537 86
1 6585 73
1 6613 27
1 6795 16
1 6857 89
1 6925 45
1 6986 46
1 6992 48
1 7195 30
1 7244 94
1 7276 10
1 7916 100
1 7943 86
1 7988 52
1 8053 91
1 8137 87
1 8163 42
1 8304 62
1 8391 87
1 8405 45
1 8406 11
1 8552 59
1 8673 66
1 8722 58
1 8743 44
1 8749 81
1 8774 90
1 8789 10
1 8910 5
1 9026 86
1 9118 27
1 9179 6
1 9312 44
1 9419 37
1 9466 15
1 9655 30
1 9667 39
1 9684 53
2 9 69
2 23 3
2 93 12
2 143 95
2 328 16
2 681 65
2 699 20
2 749 84
2 839 66
2 915 65
2 1090 47
2 1309 100
2 1572 24
2 1632 66
2 1648 69
2 1691 99
2 1743 20
2 1774 66
2 1809 18
2 1897 70
2 1968 15
2 2030 14
2 2272 73
2 2282 67
2 2401 2
2 2472 40
2 2586 58
2 2629 56
2 2645 72
2 2708 40
2 2774 96
2 2775 80
2 2814 51
2 3535 12
2 3733 96
2 3871 17
2 3897 58
2 4194 64
2 4208 45
2 4277 55
2 4442 96
2 4468 42
2 4496 13
2 4533 95
2 4555 80
2 4660 6
2 4744 47
2 4867 2
2 4914 27
2 4947 88
2 5057 48
2 5111 61
2 5203 81
2 5233 18
2 5254 95
2 5503 21
2 5741 7
2 5745 76
2 5757 84
2 5800 23
2 5806 59
2 6075 19
2 6190 57
2 6230 53
2 6315 54
2 6402 9
2 6422 18
2 6473 83
2 6584 20
2 6693 98
2 6773 60
2 6831 23
2 6874 87
2 6877 77
2 7213 28
2 7285 96
2 7326 95
2 7363 51
2 7432 28
2 7541 53
2 7598 47
2 7681 44
2 7696 29
2 7705 17
2 7740 75
2 7822 2
2 7831 11
2 7878 71
2 7917 67
2 8193 52
2 8260 28
2 8261 17
2 8267 76
2 8394 26
2 8470 31
2 8617 47
2 8681 58
2 8784 30
2 8837 51
2 9099 3
2 9389 99
2 9397 87
2 9500 93
2 9700 41
2 9802 17
2 9940 40
2 9995 76
3 74 27
3 153 85
3 284 82
3 458 31
3 537 76
3 547 44
3 579 95
3 1368 28
3 1472 68
3 1658 99
3 1706 100
3 1735 71
3 1834 34
3 1926 56
3 1951 10
3 2091 75
3 2324 15
3 2396 96
3 2434 25
3 2476 79
3 2502 71
3 2508 99
3 2761 76
3 2816 52
3 2929 53
3 2934 82
3 3009 91
3 3012 19
3 3125 36
3 3177 100
3 3183 69
3 3193 42
3 3260 81
3 3374 29
3 3388 16
3 3671 95
3 3737 66
3 3779 16
3 3818 35
3 3845 2
3 3871 67
3 3875 77
3 3942 95
3 3969 38
3 4004 71
3 4016 8
3 4125 62
3 4251 24
3 5109 59
3 5197 91
3 5356 5
3 5707 45
3 5745 100
3 5851 86
3 5953 74
3 5974 38
3 6065 81
3 6077 55
3 6115 22
3 6133 68
3 6195 18
3 6304 56
3 6481 80
3 6491 5
3 6534 70
3 6563 47
3 6577 97
3 6586 91
3 6667 54
3 6698 25
3 6797 89
3 7221 76
3 7224 50
3 7247 96
3 7557 58
3 7688 37
3 7811 12
3 7883 43
3 8001 85
3 8051 7
3 8088 38
3 8111 56
3 8272 39
3 8296 26
3 8502 23
3 8584 66
3 8612 36
3 8649 64
3 8766 78
3 8802 72
3 8822 86
3 8841 53
3 9095 42
3 9190 16
3 9600 21
3 9869 94
3 9893 99
3 9930 29
3 9985 15
4 234 88
4 417 54
4 464 84
4 566 23
4 1007 81
4 1137 13
4 1146 21
4 1384 75
4 1771 20
4 1867 11
4 1875 97
4 1898 87
4 2111 22
4 2142 17
4 2357 82
4 2359 54
4 2385 61
4 2548 22
4 2585 36
4 2611 15
4 2663 75
4 2715 8
4 2745 64
4 2904 81
4 3030 55
4 3172 68
4 3229 11
4 3274 71
4 3282 66
4 3381 34
4 3602 38
4 3708 20
4 3854 36
4 4019 54
4 4380 17
4 4505 32
4 4506 78
4 4652 55
4 4825 72
4 4900 10
4 5048 85
4 5055 99
4 5064 57
4 5165 18
4 5333 36
4 5344 79
4 5379 15
4 5381 9
4 5407 5
4 5581 97
4 5638 76
4 5683 1
4 5738 4
4 5763 1
4 6037 38
4 6112 2
4 6641 52
4 7055 41
4 7088 21
4 7180 11
4 7191 1
4 7202 67
4 7294 48
4 7296 45
4 7336 23
4 7382 12
4 7451 11
4 7459 6
4 7757 8
4 7911 95
4 8056 12
4 8131 6
4 8157 88
4 8204 88
4 8214 76
4 8234 9
4 8377 97
4 8403 63
4 8441 39
4 8446 99
4 8589 30
4 8717 79
4 8810 93
4 9129 37
4 9332 66
4 9333 8
4 9456 44
4 9568 54
4 9599 51
4 9628 75
4 9757 57
4 9810 14
4 9847 20
4 9953 8
5 182 2
5 375 86
5 715 49
5 748 33
5 849 73
5 937 28
5 970 57
5 1051 91
5 1106 100
5 1193 11
5 1236 25
5 1412 52
5 1670 4
5 1758 94
5 1881 10
5 1897 73
5 2029 64
5 2142 27
5 2196 47
5 2215 17
5 2342 43
5 2344 32
5 2346 95
5 2381 37
5 2494 63
5 2622 37
5 2880 64
5 3059 66
5 3204 37
5 3290 64
5 3360 2
5 3362 40
5 3425 12
5 3451 81
5 3485 84
5 3634 99
5 3794 26
5 3916 36
5 3959 19
5 3964 88
5 4106 10
5 4203 80
5 4267 45
5 4288 94
5 4403 3
5 4412 44
5 4589 53
5 4625 72
5 4634 63
5 4665 23
5 4949 68
5 5034 24
5 5360 27
5 5590 28
5 5801 85
5 5936 34
5 5945 3
5 5955 19
5 6106 77
5 6159 3
5 6340 68
5 6631 8
5 6836 7
5 6942 96
5 7082 44
5 7162 85
5 7267 20
5 7402 87
5 7454 53
5 7491 48
5 7553 58
5 7582 84
5 7624 32
5 7773 78
5 7786 96
5 7852 1
5 7907 20
5 8236 24
5 8247 28
5 8305 3
5 8445 39
5 8520 23
5 8546 54
5 8655 16
5 8675 86
5 8719 79
5 8827 73
5 8843 16
5 9081 26
5 9117 86
5 9167 30
5 9412 26
5 9427 65
5 9442 18
5 9495 69
5 9649 25
5 9847 57
5 9920 89
6 212 7
6 215 64
6 472 95
6 515 100
6 1032 17
6 1051 21
6 1248 71
6 1318 28
6 1356 49
6 1513 66
6 1589 35
6 1620 62
6 1631 52
6 1753 20
6 1772 28
6 1978 79
6 2057 89
6 2183 57
6 2214 49
6 2358 98
6 2387 57
6 2450 6
6 2578 35
6 2681 27
6 2689 95
6 2848 53
6 3045 96
6 3092 41
6 3144 48
6 3222 82
6 3269 84
6 3313 23
6 3423 83
6 3585 100
6 3851 67
6 4019 84
6 4253 58
6 4400 58
6 4621 73
6 4626 54
6 4748 39
6 4757 71
6 4812 25
6 4849 19
6 4917 70
6 5043 37
6 5452 61
6 5516 40
6 5551 54
6 5729 15
6 5731 51
6 5781 98
6 6108 79
6 6299 66
6 6301 30
6 6372 25
6 6417 89
6 6428 79
6 6638 56
6 6833 77
6 6943 69
6 7179 75
6 7200 1
6 7327 29
6 7575 42
6 7684 7
6 7945 98
6 7972 10
6 8103 59
6 8339 89
6 8372 88
6 8475 58
6 8673 60
6 8768 16
6 8790 98
6 8841 36
6 8901 84
6 8935 12
6 9038 10
6 9243 74
6 9331 49
6 9451 51
6 9485 62
6 9492 86
6 9551 47
6 9631 33
6 9814 12
6 9894 79
6 9979 84
7 308 21
7 499 4
7 589 53
7 652 19
7 724 31
7 818 86
7 1037 55
7 1082 53
7 1156 82
7 1336 93
7 1484 78
7 1652 57
7 1792 83
7 1807 85
7 1868 68
7 1986 59
7 2176 52
7 2245 41
7 2306 45
7 2430 3
7 2456 92
7 2602 42
7 2617 5
7 3204 84
7 3395 21
7 3502 81
7 3747 2
7 3967 15
7 4067 23
7 4101 22
7 4477 31
7 4530 35
7 4569 23
7 4591 85
7 4671 56
7 4964 3
7 4980 38
7 5107 51
7 5264 76
7 5275 70
7 5371 39
7 5410 75
7 5429 32
7 5472 69
7 5508 68
7 5612 46
7 5712 48
7 5727 8
7 5759 90
7 5779 37
7 5847 36
7 6007 72
7 6091 62
7 6125 27
7 6173 72
7 6249 100
7 6295 42
7 6313 1
7 6323 24
7 6647 15
7 6828 45
7 7020 72
7 7051 49
7 7345 20
7 7392 28
7 7401 16
7 7424 32
7 7536 57
7 7540 50
7 7807 83
7 7859 97
7 7912 91
7 8232 26
7 8293 51
7 8507 37
7 8545 27
7 8605 95
7 8618 63
7 8728 2
7 8742 4
7 8929 90
7 9219 88
7 9387 29
7 9393 75
7 9625 82
7 9652 90
7 9663 20
7 9671 27
7 9733 28
7 9995 79
8 79 77
8 141 99
8 148 76
8 197 59
8 436 30
8 569 20
8 777 86
8 811 19
8 826 12
8 951 16
8 1021 60
8 1154 18
8 1202 88
8 1212 40
8 1405 97
8 1417 52
8 1594 55
8 1723 3
8 1754 76
8 2106 81
