GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
academic-system,org.example.academic.system.service,PersistenceService,0,48,0,3,0,13,0,7,0,5
academic-system,org.example.academic.system.service,ClassService,9,28,0,0,2,9,2,3,2,3
academic-system,org.example.academic.system.service,ReportService,0,81,0,2,0,19,0,5,0,4
academic-system,org.example.academic.system.service,AssessmentService,24,59,3,2,3,14,3,6,0,5
academic-system,org.example.academic.system.service,AcademicService,9,32,0,0,2,9,2,3,2,3
academic-system,org.example.academic.system.report,PersistenceConfigReport,19,0,0,0,7,0,2,0,2,0
academic-system,org.example.academic.system.view,ConsoleView,693,0,47,0,181,0,51,0,19,0
academic-system,org.example.academic.system.gui,LoginController,48,0,4,0,11,0,4,0,2,0
academic-system,org.example.academic.system.gui,PersistenceConfigController,76,0,0,0,19,0,4,0,4,0
academic-system,org.example.academic.system.gui,MainScreenController,47,0,4,0,19,0,10,0,8,0
academic-system,org.example.academic.system.gui,DataVisualizationController.AssessmentRow,15,0,0,0,1,0,1,0,1,0
academic-system,org.example.academic.system.gui,AssessmentRegistrationController,153,0,11,0,35,0,13,0,6,0
academic-system,org.example.academic.system.gui,JavaFXMain,59,0,0,0,17,0,4,0,4,0
academic-system,org.example.academic.system.gui,ClassRegistrationController,91,0,8,0,25,0,9,0,5,0
academic-system,org.example.academic.system.gui,SceneManager,34,0,0,0,13,0,3,0,3,0
academic-system,org.example.academic.system.gui,DataVisualizationController,220,0,4,0,36,0,13,0,11,0
academic-system,org.example.academic.system.gui,AppContext,9,0,0,0,5,0,3,0,3,0
academic-system,org.example.academic.system.gui,ReportController,65,0,4,0,16,0,5,0,3,0
academic-system,org.example.academic.system.repository,JsonAcademicClassRepository,32,114,2,6,7,28,5,5,3,3
academic-system,org.example.academic.system.repository,InMemoryAcademicClassRepository,1,30,0,0,1,6,1,4,1,4
academic-system,org.example.academic.system.repository,XmlAcademicClassRepository,30,101,1,5,7,28,4,6,3,4
academic-system,org.example.academic.system.repository,TxtUserRepository,83,59,11,1,17,14,6,5,0,5
academic-system,org.example.academic.system.repository,TxtAcademicClassRepository,28,75,0,4,7,20,3,5,3,3
academic-system,org.example.academic.system.validation,DomainValidator,0,31,0,2,0,10,0,3,0,2
academic-system,org.example.academic.system.logging,SecurityAuditLogger,8,36,2,4,2,9,3,6,1,5
academic-system,org.example.academic.system.logging,AppLogger,3,6,0,0,1,3,1,2,1,2
academic-system,org.example.academic.system.logging,LoggingConfig,7,18,2,2,4,8,2,2,0,2
academic-system,org.example.academic.system.logging,ReportAuditLogger,2,15,1,1,0,4,1,2,0,2
academic-system,org.example.academic.system.logging,PersistenceAuditLogger,0,11,0,0,0,3,0,2,0,2
academic-system,org.example.academic.system,AcademicSystem,52,0,0,0,12,0,2,0,2,0
academic-system,org.example.academic.system,Main,59,0,0,0,17,0,3,0,3,0
academic-system,org.example.academic.system.controller,AuthenticationController,20,0,0,0,7,0,4,0,4,0
academic-system,org.example.academic.system.controller,AcademicSystemController,100,46,4,0,24,14,10,4,8,4
academic-system,org.example.academic.system.security,AuthenticationService,27,111,4,8,7,24,5,9,3,5
academic-system,org.example.academic.system.security,AuthorizationService,2,33,2,6,0,7,2,5,0,3
academic-system,org.example.academic.system.exception,InvalidMenuOptionException,5,0,0,0,2,0,1,0,1,0
academic-system,org.example.academic.system.exception,KeyboardInputException,9,0,0,0,2,0,2,0,2,0
academic-system,org.example.academic.system.exception,InvalidAssessmentException,0,4,0,0,0,1,0,1,0,1
academic-system,org.example.academic.system.exception,AuthenticationException,4,4,0,0,2,2,1,1,1,1
academic-system,org.example.academic.system.exception,InvalidClassException,4,0,0,0,1,0,1,0,1,0
academic-system,org.example.academic.system.exception,AuthorizationException,0,5,0,0,0,2,0,1,0,1
academic-system,org.example.academic.system.exception,ClassNotFoundException,0,5,0,0,0,2,0,1,0,1
academic-system,org.example.academic.system.exception,AcademicSystemException,5,4,0,0,2,2,1,1,1,1
academic-system,org.example.academic.system.exception,InvalidNumericInputException,5,0,0,0,2,0,1,0,1,0
academic-system,org.example.academic.system.exception,SecurityException,0,4,0,0,0,1,0,1,0,1
academic-system,org.example.academic.system.model,PracticalAssignment,7,0,0,0,2,0,2,0,2,0
academic-system,org.example.academic.system.model,AcademicClass,0,24,0,0,0,8,0,3,0,3
academic-system,org.example.academic.system.model,PersistenceType,0,21,0,0,0,2,0,1,0,1
academic-system,org.example.academic.system.model,Role,0,21,0,0,0,4,0,1,0,1
academic-system,org.example.academic.system.model,Assignment,7,0,0,0,2,0,2,0,2,0
academic-system,org.example.academic.system.model,Exam,0,7,0,0,0,2,0,2,0,2
academic-system,org.example.academic.system.model,Seminar,0,7,0,0,0,2,0,2,0,2
academic-system,org.example.academic.system.model,Assessment,0,9,0,0,0,4,0,1,0,1
academic-system,org.example.academic.system.model,Professor,0,12,0,0,0,4,0,2,0,2
academic-system,org.example.academic.system.model,Administrator,0,12,0,0,0,4,0,2,0,2
academic-system,org.example.academic.system.model,User,0,19,0,0,0,6,0,2,0,2
